MARKER-FAMILY EXEMPLAR CENSUS  (type 0x6534284A)
generated by tools/research/udriveit/run_census.py
game    : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe
plugins : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins
files scanned (DBPF): 532
exemplars found     : 11118
exemplars parsed OK : 11118
parse failures      : 0

PROPERTY IDS DECODED BY NAME:
  0x00000010  ExemplarType
  0x00000020  ExemplarName
  0x0ABFC024  (seen 0x1C / 0x1E)
  0x27812810  OccupantSize
  0x27812820  ResourceKeyType0
  0x27812821  ResourceKeyType1
  0x27812822  ResourceKeyType2
  0x27812823  ResourceKeyType3
  0x27812824  ResourceKeyType4
  0x27812825  ResourceKeyType5
  0x4A149631  MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5)
096E6739   115C0000   SimCity_ -              Vehicle_StationWagon_115C0000
096E6739   115D0000   SimCity_ -              Vehicle_StationWagon_115D0000
096E6739   115E0000   SimCity_ -              Vehicle_StationWagon_115E0000
096E6739   115F0000   SimCity_ -              Vehicle_StationWagon_115F0000
096E6739   11740000   SimCity_ -              Vehicle_MuscleCar_11740000
096E6739   11750000   SimCity_ -              Vehicle_MuscleCar_11750000
096E6739   11760000   SimCity_ -              Vehicle_MuscleCar_11760000
096E6739   11770000   SimCity_ -              Vehicle_MuscleCar_11770000
096E6739   11780000   SimCity_ -              Vehicle_MuscleCar_11780000
096E6739   11790000   SimCity_ -              TRAINS_SteamEngine_11790000
096E6739   117A0000   SimCity_ -              TRAINS_TrackChecker_117A
096E6739   2A990000   SimCity_ -              Vehicle_SemiTrailer6_2A990000
096E6739   2BFD0000   SimCity_ -              Vehicle_puTruckB01_2BFD0000
096E6739   2BFE0000   SimCity_ -              Vehicle_puTruckB02_2BFE0000
096E6739   2BFF0000   SimCity_ -              Vehicle_puTruckB03_2BFF0000
096E6739   2C000000   SimCity_ -              Vehicle_puTruckB04_2C000000
096E6739   2C010000   SimCity_ -              Vehicle_puTruckB05_2C010000
096E6739   2C020000   SimCity_ -              Vehicle_puTruckB06_2C020000
096E6739   2C030000   SimCity_ -              Vehicle_TaxiB_2C030000
096E6739   2C040000   SimCity_ -              Vehicle_TaxiC_2C040000
096E6739   2C050000   SimCity_ -              Vehicle_CementMixer_2c050000
096E6739   2C470000   SimCity_ -              Vehicle_commuterA1_2C470000
096E6739   2C480000   SimCity_ -              Vehicle_commuterA2_2C480000
096E6739   CA628B9F   SimCity_ -              Vehicle_ArmyTruckLeader_ca628b9f
096E6817   10820000   SimCity_ -              WATER_LuxSailBoat_1082
096E6817   10830000   SimCity_ -              WATER_Tug_1083
096E6817   10840000   SimCity_ -              WATER_motorboat_1084
096E6817   10860000   SimCity_ -              WATER_SailBoat_1086
096E6817   10870000   SimCity_ -              WATER_Fishingboat_10870000
096E6817   10890000   SimCity_ -              WATER_offshore_10890000
096E6817   108A0000   SimCity_ -              WATER_Cargo_108A0000
096E6817   108B0000   SimCity_ -              WATER_Tanker_108B
096E6817   11270000   SimCity_ -              Water_FerryLarge_11270000
096E6817   113B0000   SimCity_ -              WATER_Cruiseship1_113B0000
096E6817   114F0000   SimCity_ -              WATER_SpeedBoat_114F0000
096E6817   11500000   SimCity_ -              Water_FerrySmall_11500000
096E6817   11510000   SimCity_ -              WATER_YachtCat_11510000
096E6817   11520000   SimCity_ -              WATER_SailCat_11520000
096E6817   4C083C46   SimCity_ -              WATER_whaleSwimmetal_8c39177b
15C0ABE4   36496C48   ND_Verja {64.306, 4.431, 175.453003} ND_Verja_Completa
15C0ABE4   964829E0   DBSSY_No {63.561001, 122.207001, 163.339996} DBSSY_Notre_Dame_de_Paris_V2025_93
15C0ABE4   D6482A2C   DBSSY_No {63.561, 122.207, 163.34} DBSSY_Notre_Dame_de_Paris_V2025_93
18EB8518   4DFF21E0   CAM_Educ {24, 19, 30}   RW24x30_PrivateSchool_PIMxD
1B1F91CA   E51F11DC   CAM_Educ {44, 37, 44}   CV44x44_CityCollege_PIMxD
2821ED93   00006700   SimCity_ -              Bridge_6700
2821ED93   00006800   SimCity_ -              Bridge_6800
2821ED93   00006900   SimCity_ -              Bridge_6900
2821ED93   00007000   SimCity_ -              Bridge_7000
2821ED93   0AC00000   SimCity_ -              0ac00000_LevelBridgeStart
2821ED93   0AC10000   SimCity_ -              0AC10000_LevelBridgeRepeat
2821ED93   0AC20000   SimCity_ -              0AC20000_LevelBridgeArchStart
2821ED93   0AC30000   SimCity_ -              0AC30000_LevelBridgeArchEnd
2821ED93   0AC40000   SimCity_ -              0AC40000_LevelBridgePillar
2821ED93   0AC60000   SimCity_ {16, 16, 16}   0AC60000_RaisedBridgefoot
2821ED93   0AC70000   SimCity_ -              0AC70000_RaisedBridgeRepeat
2821ED93   0AC80000   SimCity_ -              0AC80000_RaisedBridgeSlope1
2821ED93   0AC90000   SimCity_ -              0AC90000_RaisedBridgeSlope2
2821ED93   0ACA0000   SimCity_ -              0ACA0000_RaisedBridgeSlope3withCollumn
2821ED93   0ACB0000   SimCity_ -              0ACB0000_RaisedBridgeSlope4withCollumn
2821ED93   0ACC0000   SimCity_ -              0ACC0000_RaisedBridgeSlope5
2821ED93   0ACD0000   SimCity_ -              0ACD0000_RaisedBridgeSlope6
2821ED93   0ACE0000   SimCity_ -              0ACE0000_RaisedBridgeSlopeMianCollumn
2821ED93   0AD00000   SimCity_ -              Road tunnel
2821ED93   0ADF0000   SimCity_ -              0adf0000_Road_WarrenTruss_Repeat
2821ED93   0AE00000   SimCity_ -              0ae00000_Road_WarrenTruss_Support
2821ED93   0AE10000   SimCity_ -              0ae10000_Road_WarrenTruss_Start
2821ED93   0B090000   SimCity_ -              0b090000_Road_Wooden_Covered_Bridge_Support
2821ED93   0B0A0000   SimCity_ -              0b0a0000_Road_Wooden_Covered_Bridge_Repeat
2821ED93   0B0B0000   SimCity_ -              0b0b0000_Road_Wooden_Covered_Bridge_Start
2821ED93   0B181000   SimCity_ -              Road_Medium_Suspension_Repeat_0b181000
2821ED93   0B191000   SimCity_ -              Road_Medium_Suspension_Start_0b191000
2821ED93   0B1A1000   SimCity_ -              Road_Medium_Suspension_Tower_0b1a1000
2821ED93   0B1B1000   SimCity_ -              Road_Medium_Suspension_Support_0b1b1000
2821ED93   0BA80000   SimCity_ -              Road_Small_Steel_Arch_0ba80000
2821ED93   0BA90000   SimCity_ -              Road_Small_Steel_Arch_0ba90000
2821ED93   0BAA0000   SimCity_ -              Road_Small_Steel_Arch_0baa0000
2821ED93   0BAB0000   SimCity_ -              Road_Small_Steel_Arch_0bab0000
2821ED93   0BAD0000   SimCity_ -              Road_Small_Steel_Arch_Pylon_0bad0000
2821ED93   0BAE0000   SimCity_ -              Road_Small_Steel_Arch_Repeat_0bae0000
2821ED93   0BE10000   SimCity_ -              Road_Stone_Arch_Arch2_0be10000
2821ED93   0BE20000   SimCity_ -              Road_Stone_Arch_Arch31_0be20000
2821ED93   0BE30000   SimCity_ -              Road_Stone_Arch_Arch32_0be30000
2821ED93   0BE40000   SimCity_ -              Road_Stone_Arch_Arch51_0be40000
2821ED93   0BE50000   SimCity_ -              Road_Stone_Arch_Arch52_0be50000
2821ED93   0BE60000   SimCity_ -              Road_Stone_Arch_Arch53_0be60000
2821ED93   0BE80000   SimCity_ -              Road_Stone_Arch_Start_0be80000
2821ED93   0BF30000   SimCity_ -              Road_Stone_Arch_Arch2_0bf30000
2821ED93   0BF40000   SimCity_ -              Road_Stone_Arch_Arch31_0bf40000
2821ED93   0BF50000   SimCity_ -              Road_Stone_Arch_Arch52_0bf50000
2821ED93   0BF60000   SimCity_ -              Road_Stone_Arch_Arch51_0bf60000
2821ED93   0BF70000   SimCity_ -              Road_Small_Steel_Arch_0bf70000
2821ED93   0BF80000   SimCity_ -              Road_Small_Steel_Arch_0bf80000
2821ED93   0BF90000   SimCity_ -              Road_Small_Steel_Arch_0bf90000
2821ED93   0BFA0000   SimCity_ -              Road_Small_Steel_Arch_0bfa0000
2821ED93   0C051000   SimCity_ -              Large Steel Arch Highway Bridge_0c051000
2821ED93   0C071000   SimCity_ -              Large Steel Arch Highway Bridge_0c071000
2821ED93   0C0E1000   SimCity_ -              Road_OverDeckTruss_0c0e1000
2821ED93   0C0F1000   SimCity_ -              Road_OverDeckTruss_0c0f1000
2821ED93   0C101000   SimCity_ -              Large Steel Arch Highway Bridge_0c101000
2821ED93   0C111000   SimCity_ -              Large Steel Arch Highway Bridge_0c111000
2821ED93   0C121000   SimCity_ -              Large Steel Arch Highway Bridge_0c121000
2821ED93   0C131000   SimCity_ -              Large Steel Arch Highway Bridge_0c131000
2821ED93   0C141000   SimCity_ -              Large Steel Arch Highway Bridge_0c141000
2821ED93   0C151000   SimCity_ -              Large Steel Arch Highway Bridge_0c151000
2821ED93   0C4C1000   SimCity_ -              Road_OverDeckTruss_0c4c1000
2821ED93   0C551000   SimCity_ -              Road_OverDeckTruss_0c551000
2821ED93   0C5B1000   SimCity_ -              Road_OverDeckTruss_0c5b1000
296E680F   10810000   SimCity_ -              AIR_HangGlider_10810000
296E680F   10920000   SimCity_ -              AIR_SkyDiver_10920000
296E680F   10930000   SimCity_ -              AIR_MidPropPlane_10930000
296E680F   10940000   SimCity_ -              AIR_LrgJet707Plane_10940000
296E680F   10950000   SimCity_ -              AIR_LrgJet767Plane_10950000
296E680F   10960000   SimCity_ -              AIR_SmlJetPlane_10960000
296E680F   10970000   SimCity_ -              AIR_MidJetPlane_10970000
296E680F   10BE0000   SimCity_ -              AIR_urban_10BE0000
296E680F   10C00000   SimCity_ -              AIR_HotAirBalloon_10C00000
296E680F   10C10000   SimCity_ -              AIR_helicopter_10C10000
296E680F   10C20000   SimCity_ -              AIR_Blimp_10C20000
296E680F   11120000   SimCity_ -              AIR_cropduster_11120000
296E680F   11290000   SimCity_ -              AIR_newscopter_11290000
296E680F   11370000   SimCity_ -              AIR_FirePlane_11370000
296E680F   11550000   SimCity_ -              Air_StuntPlane_11550000
296E680F   11610000   SimCity_ -              AIR_AttackCopter_11610000
296E680F   11720000   SimCity_ -              AIR_FighterJetparked_11720000
296E680F   11730000   SimCity_ -              SPACE_SmallSpaceShipSingleMesh_11730000
296E680F   12B10000   SimCity_ -              AIR_police_helicopter
296E680F   CA0E264F   SimCity_ -              AIR_buzzard_ca0e264f.exmp
2989FD57   8989DBE3   SimCity_ -              Construction
29B6C670   00000001   SimCity_ -              Volcano
29B6C670   00000002   SimCity_ -              Earthquake
29B6C670   00000003   SimCity_ -              PipeBurst
29B6C670   00000004   SimCity_ -              FlameItem
29B6C670   00000005   SimCity_ -              Meteors
29B6C670   00000006   SimCity_ -              Tornado
29B6C670   00000007   SimCity_ -              Lightning
29B6C670   0A760F65   SimCity_ -              RobotAttack
29B6C670   0C059A77   SimCity_ -              Truckasaurus
29B6C670   4A38206D   SimCity_ -              Riot
29B6C670   4B9547F1   SimCity_ -              UFOs
29B6C670   C9B6B73D   SimCity_ -              Flame
2A3858E4   00000001   SimCity_ -              Low Density Residential
2A3858E4   00000002   SimCity_ -              Medium Density Residential
2A3858E4   00000003   SimCity_ -              High Density Resdiential
2A3858E4   00000004   SimCity_ -              Low Density Commercial
2A3858E4   00000005   SimCity_ -              Medium Density Commercial
2A3858E4   00000006   SimCity_ -              High Density Commercial
2A3858E4   00000007   SimCity_ -              Agricultural
2A3858E4   00000008   SimCity_ -              Light Industrial
2A3858E4   00000009   SimCity_ -              Heavy Industrial
2A3858E4   00000020   SimCity_ -              Roads
2A3858E4   00000021   SimCity_ -              Highway
2A3858E4   00000022   SimCity_ -              Rail
2A3858E4   00000023   SimCity_ -              Subways
2A3858E4   00000024   SimCity_ -              Avenue
2A3858E4   00000025   SimCity_ -              Light rail
2A3858E4   0000002A   SimCity_ -              Streets
2A3858E4   0000002B   SimCity_ -              OneWayRoads
2A3858E4   0000002D   SimCity_ -              Ground Highway
2A3858E4   0000002E   SimCity_ -              Monorail
2A3858E4   00000030   SimCity_ -              PowerLines
2A3858E4   00000031   SimCity_ -              Pipes
2A3858E4   00000041   SimCity_ -              Landfill
2A3858E4   00000053   SimCity_ -              Raise Terrain Level
2A3858E4   00000054   SimCity_ -              Lower Terrain Level
2A3858E4   00000055   SimCity_ -              Erode
2A3858E4   00000056   SimCity_ -              Smoothen
2A3858E4   00000210   SimCity_ -              Cloverleaf
2A3858E4   0000021B   SimCity_ -              Overpass onramp
2A3858E4   0000021D   SimCity_ -              Parallel onramp
2A3858E4   00000220   SimCity_ -              Overpass onramp
2A3858E4   00000221   SimCity_ -              Parallel onramp
2A3858E4   00000222   SimCity_ -              Cloverleaf
2A3858E4   0000050A   SimCity_ -              Dezone
2A3858E4   0000051A   SimCity_ -              Dezone
2A3858E4   0000052A   SimCity_ -              Dezone
2A3858E4   0000053A   SimCity_ -              Dezone
2A3858E4   03C6629C   canal-su -              submenu-canal
2A3858E4   04986B76   CAM_Subm -              submenu-cam-SubSt-High-volt
2A3858E4   07047B22   ports-fe -              submenu-port-ferry
2A3858E4   0C7A83E6   CAM_Subm -              submenu-cam-solar
2A3858E4   11BF1CA9   ploppabl -              submenu-plop-CS$
2A3858E4   13D1986E   CAM_Subm -              submenu-cam-misc-water-util
2A3858E4   14D53C20   CAM_Subm -              submenu-cam-electric-gen
2A3858E4   1CD18678   seawall- -              submenu-seawall
2A3858E4   1FDDE184   bus-subm -              submenu-bus
2A3858E4   217B6C35   parking- -              submenu-parking
2A3858E4   231186A6   CAM_Subm -              submenu-cam-treatment
2A3858E4   231A97D3   subway-s -              submenu-subway
2A3858E4   244F77E1   ElRail-s -              submenu-ElRail
2A3858E4   24C43253   ploppabl -              submenu-plop-CS$$
2A3858E4   26B51B28   GLR-subm -              submenu-GLR
2A3858E4   26EB3057   religion -              submenu-religion
2A3858E4   2B294CC2   hybrid-r -              submenu-hybrid-railway
2A3858E4   2CBE97D3   CAM_Subm -              submenu-cam-salt-water
2A3858E4   2FAE9226   CAM_Subm -              submenu-cam-scrubber
2A3858E4   322C7959   multimod -              submenu-multimodal-stations
2A3858E4   34872AFE   CAM_Subm -              submenu-cam-hydroelectric
2A3858E4   35380C75   passenge -              submenu-passenger-rail
2A3858E4   3557F0A1   freight- -              submenu-freight-rail
2A3858E4   37FFA051   CAM_Subm -              submenu-cam-incinerator
2A3858E4   39BA25C7   yards-su -              submenu-yards
2A3858E4   3A1D9854   monorail -              submenu-monorail
2A3858E4   3B6755A2   CAM_Subm -              submenu-cam-water-office
2A3858E4   44FD9388   CAM_Subm -              submenu-cam-microwave
2A3858E4   4B465151   dirty-en -              submenu-dirty-energy
2A3858E4   4DE67A6E   CAM_Subm -              submenu-cam-substations
2A3858E4   4E110215   CAM_Subm -              submenu-cam-power-lines
2A3858E4   50658ACB   CAM_Subm -              submenu-cam-nuclear-fission
2A3858E4   60B9298D   CAM_Subm -              submenu-cam-tidal-wave
2A3858E4   61730DA9   CAM_Subm -              submenu-cam-geothermal
2A3858E4   62D82695   ploppabl -              submenu-plop-Id
2A3858E4   64365D13   CAM_Subm -              submenu-cam-power-storage
2A3858E4   64893FBF   CAM_Subm -              submenu-cam-power-eye-candy
2A3858E4   65B21D16   CAM_Subm -              submenu-water-tower
2A3858E4   65D88585   police-s -              submenu-police-small
2A3858E4   67B10537   CAM_Subm -              submenu-cam-nuclear-fusion
2A3858E4   68B3E5FD   ploppabl -              submenu-plop-Im
2A3858E4   6A472000   SimCity_ -              T-intersection, Elevated
2A3858E4   6A472010   SimCity_ -              T-intersection, Ground
2A3858E4   6CC864EF   CAM_Subm -              submenu-cam--Academy
2A3858E4   6E967DFF   submenu- -              submenu-placeholder
2A3858E4   77A9FEEF   CAM_Subm -              submenu-cam-waste-energy
2A3858E4   7C5D244F   CAM_Subm -              submenu-cam-gambling
2A3858E4   7D6DC8BC   police-l -              submenu-police-large
2A3858E4   8157CA0E   police-d -              submenu-police-deluxe
2A3858E4   83E040BB   signage- -              submenu-signage
2A3858E4   84D42CD6   waterfro -              submenu-waterfront
2A3858E4   8BA49621   military -              submenu-military
2A3858E4   8D93AA33   green-sp -              submenu-community-gardens
2A3858E4   8E5B2F9C   CAM_Subm -              submenu-cam-sewage-sanitizer
2A3858E4   93CFB7D6   CAM_Subm -              submenu-cam-recycle
2A3858E4   93DADFE9   ploppabl -              submenu-plop-R$
2A3858E4   954E20FE   ploppabl -              submenu-plop-Iht
2A3858E4   984E5034   ploppabl -              submenu-plop-R$$
2A3858E4   9BDEFE2B   ploppabl -              submenu-plop-CS$$$
2A3858E4   9F83F133   ploppabl -              submenu-plop-R$$$
2A3858E4   9FAF7A3B   governme -              submenu-government
2A3858E4   9FE5C428   elementa -              submenu-elementary-school
2A3858E4   A08063D0   high-sch -              submenu-high-school
2A3858E4   A11C9DB6   CAM_Subm -              submenu-cam-coal
2A3858E4   A7FF7CF0   ploppabl -              submenu-plop-CO$$
2A3858E4   A99B3326   CAM_Subm -              submenu-cam-wind
2A3858E4   AA404D71   CAM_Subm -              submenu-cam--power-office
2A3858E4   AC706063   college- -              submenu-college
2A3858E4   AEDD9FAA   library- -              submenu-library-museum
2A3858E4   B1F7AC5B   health-s -              submenu-health-small
2A3858E4   B7734619   CAM_Subm -              submenu-cam--garbage-office
2A3858E4   B7B594D6   health-m -              submenu-health-medium
2A3858E4   BB531946   embankme -              submenu-embankment
2A3858E4   BC251B69   health-l -              submenu-health-large
2A3858E4   BE9FDA0C   entertai -              submenu-entertainment
2A3858E4   BF776D40   green-sp -              submenu-green-spaces
2A3858E4   C220B7D8   ploppabl -              submenu-plop-Ia
2A3858E4   CDE0316B   clean-en -              submenu-clean-energy
2A3858E4   CE21DBEB   sports-s -              submenu-sports
2A3858E4   D013F32D   misc-pow -              submenu-misc-power
2A3858E4   D2430E09   CAM_Subm -              submenu-cam-natural-gas
2A3858E4   D547C3D3   CAM_Subm -              submenu-cam-acquifer-water
2A3858E4   D86B3B3B   CAM_Subm -              submenu-cam-SubSt-Low-volt
2A3858E4   DD5DC0E7   watercra -              submenu-watercraft
2A3858E4   DEFFD960   modular- -              submenu-modular-parks
2A3858E4   E27B7EF6   ploppabl -              submenu-plop-CO$$$
2A3858E4   E30B61A4   CAM_Subm -              submenu-cam-oil
2A3858E4   E75D823A   CAM_Subm -              submenu-cam-fresh-water
2A3858E4   EB75882C   plaza-su -              submenu-plazas
2A3858E4   EF2C3770   CAM_Subm -              submenu-cam-SubSt-Medum-volt
2A3858E4   F034265C   fillers- -              submenu-fillers
2B79DFFB   08000200   SimCity_ -              LightRail_08000200
2B79DFFB   08000500   SimCity_ -              LightRail_08000500
2B79DFFB   08001A00   SimCity_ -              LightRail_08001a00
2B79DFFB   08001C00   SimCity_ -              LightRail_08001c00
2B79DFFB   08002200   SimCity_ -              LightRail_08002200
2B79DFFB   08014E00   SimCity_ -              LightRail_08014e00
2B79DFFB   08018B00   SimCity_ -              LightRail_08018b00
2B79DFFB   08019500   SimCity_ -              LightRail_08019500
2B79DFFB   08029700   SimCity_ -              LightRail_08029700
2B79DFFB   0802F900   SimCity_ -              LightRail_0802f900
2B79DFFB   08031500   SimCity_ -              LightRail_08031500
2B79DFFB   08031600   SimCity_ -              LightRail_08031600
2B79DFFB   08031700   SimCity_ -              LightRail_08031700
2B79DFFB   08031A00   SimCity_ -              LightRail_08031a00
2B79DFFB   08031B00   SimCity_ -              LightRail_08031b00
2B79DFFB   08032500   SimCity_ -              LightRail_08032500
2B79DFFB   0812FF00   SimCity_ -              LightRail_0812ff00
2B79DFFB   082E2D00   SimCity_ -              LightRail_082e2d00
2B79DFFB   08AA1400   SimCity_ -              LightRail_08aa1400
2B79DFFB   08AA2000   SimCity_ -              LightRail_08aa2000
2B79DFFB   08AA5000   SimCity_ -              LightRail_08aa5000
2B79DFFB   08AA6000   SimCity_ -              LightRail_08aa6000
2B79DFFB   08AA6300   SimCity_ -              LightRail_08aa6300
2B79DFFB   08AA6500   SimCity_ -              LightRail_08aa6500
2B79DFFB   08AA6600   SimCity_ -              LightRail_08aa6600
2B79DFFB   08AA6800   SimCity_ -              LightRail_08aa6800
2B79DFFB   08AA6900   SimCity_ -              LightRail_08aa6900
2B79DFFB   08DD0100   SimCity_ -              LightRail_08DD0100
2B79DFFB   08DD0200   SimCity_ -              LightRail_08DD0200
2B79DFFB   08DD0300   SimCity_ -              LightRail_08DD0300
2B79DFFB   08DD0400   SimCity_ -              LightRail_08DD0400
2B79DFFB   08DD0500   SimCity_ -              LightRail_08DD0500
2B79DFFB   08DD0600   SimCity_ -              LightRail_08DD0600
2B79DFFB   08DD0700   SimCity_ -              LightRail_08DD0700
2B79DFFB   08DD0800   SimCity_ -              LightRail_08DD0800
2B79DFFB   08DD0900   SimCity_ -              LightRail_08DD0900
2B79DFFB   08DD1000   SimCity_ -              LightRail_08DD1000
2B79DFFB   08DD1100   SimCity_ -              LightRail_08DD1100
2B79DFFB   08DD1200   SimCity_ -              LightRail_08DD1200
2B79DFFB   08DD1300   SimCity_ -              LightRail_08DD1300
2B79DFFB   08DD1400   SimCity_ -              LightRail_08DD1400
2B79DFFB   08DD1500   SimCity_ -              LightRail_08DD1500
2B79DFFB   08DD1600   SimCity_ -              LightRail_08DD1600
2B79DFFB   08DD1700   SimCity_ -              LightRail_08DD1700
2B79DFFB   0AF50000   SimCity_ -              Elevated_Rail_Pylon_0af50000
2B79DFFB   2B97DBCF   SimCity_ -              LightRail_2b97dbcf
358BADF0   6387BEB8   CAM_Park {3, 5, 6}      PZPark3x6x5_Lifeguardtower_1DDD_PIM-Xd
3F00ED21   28BA45DE   CAM_Educ {44, 31, 30}   Maxis Cultural Theater-MZ
47BDDF12   04E30000   SimCity_ {30, 65, 22}   CO$$$30x22_4ChiOfficeBldg1_04E3
